postal,X,Y,
58695,29662.9601,29927.9809,
58696,29640.7346,29973.4455,
58697,29657.4273,29924.5591,
58699,29656.7783,29916.4911,
58700,29623.1431,29946.089,
58702,29620.9844,29940.9947,
58703,29652.4403,29909.7669,
58704,29618.2307,29936.3607,
58706,29615.36,29931.6755,
58707,29647.0033,29900.4003,
58708,29612.5293,29926.9074,
58709,29643.626,29895.2528,
58710,29610.8775,29921.6974,
58716,29598.8938,29902.1851,
58727,29459.4705,29711.7445,
58747,29393.5613,29563.1904,
58748,29425.945,29533.9749,
58749,29391.0609,29558.8284,
58750,29423.4618,29529.948,
58751,29388.7699,29555.0579,
58752,29420.9174,29526.3724,
58757,29382.6796,29544.1987,
58758,29410.3954,29502.9447,
58759,29378.2626,29537.0401,
58760,29410.7285,29494.8883,
58763,29376.2811,29514.6981,
58766,29406.8736,29485.0197,
58770,29397.3075,29481.6924,
58772,29396.1447,29478.0326,
58775,29355.1582,29492.4012,
58776,29383.5181,29467.0409,
58777,29352.8907,29488.5745,
58778,29381.2458,29463.1882,
58779,29350.5483,29484.8998,
58780,29378.9298,29459.0083,
58781,29347.7811,29481.2011,
58782,29380.3008,29452.5745,
58784,29377.7758,29448.0484,
58790,29371.4761,29434.5757,
58793,29322.9217,29455.9087,
58794,29365.7751,29425.9786,
58796,29362.8917,29422.0196,
58798,29359.2174,29418.3017,
58800,29355.914,29409.0241,
58801,29306.1651,29414.2137,
58803,29303.5707,29409.9274,
58804,29353.442,29404.692,
58805,29300.6853,29405.1218,
58806,29350.8702,29400.4762,
58807,29297.7849,29399.9344,
58808,29348.398,29396.0357,
58809,29295.0531,29395.0141,
58810,29345.8444,29391.8606,
58811,29292.5746,29390.5065,
58812,29343.5862,29387.4477,
58813,29295.4894,29382.6907,
58814,29341.0602,29383.1479,
58815,29292.8727,29377.9047,
58817,29277.877,29365.2883,
58818,29335.9901,29373.846,
58819,29275.7101,29361.6217,
58822,29330.7078,29365.1543,
58823,29270.7002,29353.4123,
58825,29268.0883,29349.1589,
58826,29326.5214,29356.0571,
58827,29265.4989,29344.8712,
58831,29260.6576,29336.9024,
58832,29315.4023,29334.2934,
58833,29312.5784,29330.0368,
58834,29310.1749,29325.871,
58835,29307.5941,29322.1673,
58836,29304.7893,29317.8647,
58837,29306.169,29311.17,
58838,29299.7359,29309.3812,
58840,29215.6489,29326.6607,
58917,29286.2488,29385.1133,
58918,29281.4696,29387.7669,
58919,29259.3758,29370.2242,
58922,29271.2745,29397.0367,
58923,29249.6566,29375.5827,
58926,29265.0413,29401.5481,
58928,29260.4841,29404.3729,
58929,29235.3649,29383.7179,
58930,29255.8108,29406.8433,
58932,29251.0966,29409.4565,
58933,29226.2225,29388.7123,
58935,29221.7213,29391.3132,
58936,29241.4407,29414.9563,
58937,29217.2187,29393.8137,
58938,29236.8897,29417.6764,
58939,29212.7576,29396.2663,
58940,29232.3528,29420.0633,
58941,29208.3265,29398.7939,
58942,29227.5726,29422.9573,
58944,29222.7709,29425.6816,
58945,29193.6495,29405.68,
58948,29193.6495,29405.68,
58952,29181.7383,29413.3969,
58954,29153.9226,29463.3576,
58956,29146.3928,29468.5411,
58957,29142.1958,29470.9544,
58958,29137.4837,29473.7205,
58960,29128.1335,29478.8099,
58963,29114.1253,29486.8151,
58964,29109.5184,29489.4598,
58966,29100.1645,29494.9673,
58967,29095.7339,29497.6121,
58968,29091.1477,29500.3596,
58969,29086.3421,29503.7282,
58971,29081.5709,29514.928,
58972,29073.3798,29513.7345,
59011,29246.775,29349.5154,
59013,29237.5246,29355.6136,
59014,29232.9164,29358.4083,
59015,29228.3363,29361.0993,
59016,29223.5649,29363.5659,
59017,29218.9241,29366.0988,
59019,29209.9224,29371.3505,
59020,29205.4075,29373.8013,
59021,29200.8773,29376.2836,
59022,29196.3822,29378.7507,
59024,29191.8629,29381.2766,
59025,29187.1335,29383.1781,
59026,29181.4883,29384.8443,
59027,29176.4021,29387.647,
59028,29171.532,29390.2347,
59029,29166.5342,29394.5393,
59108,29031.2548,29617.9408,
59186,29291.1072,29518.8254,
59187,29283.8496,29520.9207,
59188,29279.1083,29525.1836,
59189,29271.8134,29528.027,
59190,29277.2419,29487.3735,
59192,29272.4893,29490.105,
